run_id,channel,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,estimated_roi,prior_key,targets,is_baseline,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,qc_status_code,qc_severity_rank,qc_summary_short,qc_primary_review_check,qc_flagged_channels,qc_review_reason,qc_convergence_status,qc_baseline_status,qc_bayesianppp_status,qc_gof_status,qc_prior_posterior_shift_status,qc_roi_consistency_status,qc_report_full,data_granularity,data_time_col,data_geo_col,data_population_col,data_n_rows,data_n_time_periods,data_n_geos,roi_baseline,roi_new,delta_abs,delta_pct,channel_total_spend,incremental_outcome_baseline,incremental_outcome_new,delta_outcome,delta_outcome_abs,dollars_per_subscription,incremental_value_baseline,incremental_value_new,delta_value,delta_value_abs
multi|meta|0.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,meta,meta,0.5,0.5,LogNormal,0.029280560844733,"{""roi_prior_overrides"": {""meta"": {""dist"": ""LogNormal"", ""mu"": 0.5, ""sigma"": 0.5}}, ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}}",meta,True,0.3,0.5,1.2,4,geometric,REVIEW,1,REVIEW:ROIConsistency,ROIConsistency,"meta,google","We've detected an unusually low ROI estimate (for channels `meta`, `google`) where the posterior point estimate falls into the extreme tail of your custom prior. Please review this result to determine if it is reasonable within your business context.",PASS,PASS,PASS,PASS,PASS,REVIEW,"========================================
Model Quality Checks
========================================
Overall Status: PASS
Summary: Passed with reviews: Review is needed.

Check Results:
----------------------------------------
Convergence Check:
  Status: PASS
  Recommendation: The model has likely converged, as all parameters have R-hat values < 1.2.
----------------------------------------
Baseline Check:
  Status: PASS
  Recommendation: The posterior probability that the baseline is negative is 0.00. We recommend visually inspecting the baseline time series in the Model Fit charts to confirm this.
----------------------------------------
BayesianPPP Check:
  Status: PASS
  Recommendation: The Bayesian posterior predictive p-value is 0.90. The observed total outcome is consistent with the model's posterior predictive distribution.
----------------------------------------
GoodnessOfFit Check:
  Status: PASS
  Recommendation: R-squared = 0.8841, MAPE = 0.0548, and wMAPE = 0.0540. These goodness-of-fit metrics are intended for guidance and relative comparison.
----------------------------------------
PriorPosteriorShift Check:
  Status: PASS
  Recommendation: The model has successfully learned from the data. This is a positive sign that your data was informative.
----------------------------------------
ROIConsistency Check:
  Status: REVIEW
  Recommendation: We've detected an unusually low ROI estimate (for channels `meta`, `google`) where the posterior point estimate falls into the extreme tail of your custom prior. Please review this result to determine if it is reasonable within your business context.",national,date,,,74,74,1,,,,,,,,,,,,,,
multi|meta|0.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,meta,0.5,0.5,LogNormal,0.0139941585313257,"{""roi_prior_overrides"": {""meta"": {""dist"": ""LogNormal"", ""mu"": 0.5, ""sigma"": 0.5}}, ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}}",meta,True,0.3,0.5,1.2,4,geometric,REVIEW,1,REVIEW:ROIConsistency,ROIConsistency,"meta,google","We've detected an unusually low ROI estimate (for channels `meta`, `google`) where the posterior point estimate falls into the extreme tail of your custom prior. Please review this result to determine if it is reasonable within your business context.",PASS,PASS,PASS,PASS,PASS,REVIEW,"========================================
Model Quality Checks
========================================
Overall Status: PASS
Summary: Passed with reviews: Review is needed.

Check Results:
----------------------------------------
Convergence Check:
  Status: PASS
  Recommendation: The model has likely converged, as all parameters have R-hat values < 1.2.
----------------------------------------
Baseline Check:
  Status: PASS
  Recommendation: The posterior probability that the baseline is negative is 0.00. We recommend visually inspecting the baseline time series in the Model Fit charts to confirm this.
----------------------------------------
BayesianPPP Check:
  Status: PASS
  Recommendation: The Bayesian posterior predictive p-value is 0.90. The observed total outcome is consistent with the model's posterior predictive distribution.
----------------------------------------
GoodnessOfFit Check:
  Status: PASS
  Recommendation: R-squared = 0.8841, MAPE = 0.0548, and wMAPE = 0.0540. These goodness-of-fit metrics are intended for guidance and relative comparison.
----------------------------------------
PriorPosteriorShift Check:
  Status: PASS
  Recommendation: The model has successfully learned from the data. This is a positive sign that your data was informative.
----------------------------------------
ROIConsistency Check:
  Status: REVIEW
  Recommendation: We've detected an unusually low ROI estimate (for channels `meta`, `google`) where the posterior point estimate falls into the extreme tail of your custom prior. Please review this result to determine if it is reasonable within your business context.",national,date,,,74,74,1,,,,,,,,,,,,,,
multi|meta|0.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,snapchat,meta,0.5,0.5,LogNormal,0.03020469453244,"{""roi_prior_overrides"": {""meta"": {""dist"": ""LogNormal"", ""mu"": 0.5, ""sigma"": 0.5}}, ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}}",meta,True,0.3,0.5,1.2,4,geometric,REVIEW,1,REVIEW:ROIConsistency,ROIConsistency,"meta,google","We've detected an unusually low ROI estimate (for channels `meta`, `google`) where the posterior point estimate falls into the extreme tail of your custom prior. Please review this result to determine if it is reasonable within your business context.",PASS,PASS,PASS,PASS,PASS,REVIEW,"========================================
Model Quality Checks
========================================
Overall Status: PASS
Summary: Passed with reviews: Review is needed.

Check Results:
----------------------------------------
Convergence Check:
  Status: PASS
  Recommendation: The model has likely converged, as all parameters have R-hat values < 1.2.
----------------------------------------
Baseline Check:
  Status: PASS
  Recommendation: The posterior probability that the baseline is negative is 0.00. We recommend visually inspecting the baseline time series in the Model Fit charts to confirm this.
----------------------------------------
BayesianPPP Check:
  Status: PASS
  Recommendation: The Bayesian posterior predictive p-value is 0.90. The observed total outcome is consistent with the model's posterior predictive distribution.
----------------------------------------
GoodnessOfFit Check:
  Status: PASS
  Recommendation: R-squared = 0.8841, MAPE = 0.0548, and wMAPE = 0.0540. These goodness-of-fit metrics are intended for guidance and relative comparison.
----------------------------------------
PriorPosteriorShift Check:
  Status: PASS
  Recommendation: The model has successfully learned from the data. This is a positive sign that your data was informative.
----------------------------------------
ROIConsistency Check:
  Status: REVIEW
  Recommendation: We've detected an unusually low ROI estimate (for channels `meta`, `google`) where the posterior point estimate falls into the extreme tail of your custom prior. Please review this result to determine if it is reasonable within your business context.",national,date,,,74,74,1,,,,,,,,,,,,,,
multi|meta|0.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,tiktok,meta,0.5,0.5,LogNormal,0.0287884467632587,"{""roi_prior_overrides"": {""meta"": {""dist"": ""LogNormal"", ""mu"": 0.5, ""sigma"": 0.5}}, ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}}",meta,True,0.3,0.5,1.2,4,geometric,REVIEW,1,REVIEW:ROIConsistency,ROIConsistency,"meta,google","We've detected an unusually low ROI estimate (for channels `meta`, `google`) where the posterior point estimate falls into the extreme tail of your custom prior. Please review this result to determine if it is reasonable within your business context.",PASS,PASS,PASS,PASS,PASS,REVIEW,"========================================
Model Quality Checks
========================================
Overall Status: PASS
Summary: Passed with reviews: Review is needed.

Check Results:
----------------------------------------
Convergence Check:
  Status: PASS
  Recommendation: The model has likely converged, as all parameters have R-hat values < 1.2.
----------------------------------------
Baseline Check:
  Status: PASS
  Recommendation: The posterior probability that the baseline is negative is 0.00. We recommend visually inspecting the baseline time series in the Model Fit charts to confirm this.
----------------------------------------
BayesianPPP Check:
  Status: PASS
  Recommendation: The Bayesian posterior predictive p-value is 0.90. The observed total outcome is consistent with the model's posterior predictive distribution.
----------------------------------------
GoodnessOfFit Check:
  Status: PASS
  Recommendation: R-squared = 0.8841, MAPE = 0.0548, and wMAPE = 0.0540. These goodness-of-fit metrics are intended for guidance and relative comparison.
----------------------------------------
PriorPosteriorShift Check:
  Status: PASS
  Recommendation: The model has successfully learned from the data. This is a positive sign that your data was informative.
----------------------------------------
ROIConsistency Check:
  Status: REVIEW
  Recommendation: We've detected an unusually low ROI estimate (for channels `meta`, `google`) where the posterior point estimate falls into the extreme tail of your custom prior. Please review this result to determine if it is reasonable within your business context.",national,date,,,74,74,1,,,,,,,,,,,,,,
multi|meta|0.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,moloco,meta,0.5,0.5,LogNormal,0.0709003097071157,"{""roi_prior_overrides"": {""meta"": {""dist"": ""LogNormal"", ""mu"": 0.5, ""sigma"": 0.5}}, ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}}",meta,True,0.3,0.5,1.2,4,geometric,REVIEW,1,REVIEW:ROIConsistency,ROIConsistency,"meta,google","We've detected an unusually low ROI estimate (for channels `meta`, `google`) where the posterior point estimate falls into the extreme tail of your custom prior. Please review this result to determine if it is reasonable within your business context.",PASS,PASS,PASS,PASS,PASS,REVIEW,"========================================
Model Quality Checks
========================================
Overall Status: PASS
Summary: Passed with reviews: Review is needed.

Check Results:
----------------------------------------
Convergence Check:
  Status: PASS
  Recommendation: The model has likely converged, as all parameters have R-hat values < 1.2.
----------------------------------------
Baseline Check:
  Status: PASS
  Recommendation: The posterior probability that the baseline is negative is 0.00. We recommend visually inspecting the baseline time series in the Model Fit charts to confirm this.
----------------------------------------
BayesianPPP Check:
  Status: PASS
  Recommendation: The Bayesian posterior predictive p-value is 0.90. The observed total outcome is consistent with the model's posterior predictive distribution.
----------------------------------------
GoodnessOfFit Check:
  Status: PASS
  Recommendation: R-squared = 0.8841, MAPE = 0.0548, and wMAPE = 0.0540. These goodness-of-fit metrics are intended for guidance and relative comparison.
----------------------------------------
PriorPosteriorShift Check:
  Status: PASS
  Recommendation: The model has successfully learned from the data. This is a positive sign that your data was informative.
----------------------------------------
ROIConsistency Check:
  Status: REVIEW
  Recommendation: We've detected an unusually low ROI estimate (for channels `meta`, `google`) where the posterior point estimate falls into the extreme tail of your custom prior. Please review this result to determine if it is reasonable within your business context.",national,date,,,74,74,1,,,,,,,,,,,,,,
multi|meta|0.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,liveintent,meta,0.5,0.5,LogNormal,0.1021999410221663,"{""roi_prior_overrides"": {""meta"": {""dist"": ""LogNormal"", ""mu"": 0.5, ""sigma"": 0.5}}, ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}}",meta,True,0.3,0.5,1.2,4,geometric,REVIEW,1,REVIEW:ROIConsistency,ROIConsistency,"meta,google","We've detected an unusually low ROI estimate (for channels `meta`, `google`) where the posterior point estimate falls into the extreme tail of your custom prior. Please review this result to determine if it is reasonable within your business context.",PASS,PASS,PASS,PASS,PASS,REVIEW,"========================================
Model Quality Checks
========================================
Overall Status: PASS
Summary: Passed with reviews: Review is needed.

Check Results:
----------------------------------------
Convergence Check:
  Status: PASS
  Recommendation: The model has likely converged, as all parameters have R-hat values < 1.2.
----------------------------------------
Baseline Check:
  Status: PASS
  Recommendation: The posterior probability that the baseline is negative is 0.00. We recommend visually inspecting the baseline time series in the Model Fit charts to confirm this.
----------------------------------------
BayesianPPP Check:
  Status: PASS
  Recommendation: The Bayesian posterior predictive p-value is 0.90. The observed total outcome is consistent with the model's posterior predictive distribution.
----------------------------------------
GoodnessOfFit Check:
  Status: PASS
  Recommendation: R-squared = 0.8841, MAPE = 0.0548, and wMAPE = 0.0540. These goodness-of-fit metrics are intended for guidance and relative comparison.
----------------------------------------
PriorPosteriorShift Check:
  Status: PASS
  Recommendation: The model has successfully learned from the data. This is a positive sign that your data was informative.
----------------------------------------
ROIConsistency Check:
  Status: REVIEW
  Recommendation: We've detected an unusually low ROI estimate (for channels `meta`, `google`) where the posterior point estimate falls into the extreme tail of your custom prior. Please review this result to determine if it is reasonable within your business context.",national,date,,,74,74,1,,,,,,,,,,,,,,
multi|meta|0.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,beehiiv,meta,0.5,0.5,LogNormal,0.1893086385765733,"{""roi_prior_overrides"": {""meta"": {""dist"": ""LogNormal"", ""mu"": 0.5, ""sigma"": 0.5}}, ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}}",meta,True,0.3,0.5,1.2,4,geometric,REVIEW,1,REVIEW:ROIConsistency,ROIConsistency,"meta,google","We've detected an unusually low ROI estimate (for channels `meta`, `google`) where the posterior point estimate falls into the extreme tail of your custom prior. Please review this result to determine if it is reasonable within your business context.",PASS,PASS,PASS,PASS,PASS,REVIEW,"========================================
Model Quality Checks
========================================
Overall Status: PASS
Summary: Passed with reviews: Review is needed.

Check Results:
----------------------------------------
Convergence Check:
  Status: PASS
  Recommendation: The model has likely converged, as all parameters have R-hat values < 1.2.
----------------------------------------
Baseline Check:
  Status: PASS
  Recommendation: The posterior probability that the baseline is negative is 0.00. We recommend visually inspecting the baseline time series in the Model Fit charts to confirm this.
----------------------------------------
BayesianPPP Check:
  Status: PASS
  Recommendation: The Bayesian posterior predictive p-value is 0.90. The observed total outcome is consistent with the model's posterior predictive distribution.
----------------------------------------
GoodnessOfFit Check:
  Status: PASS
  Recommendation: R-squared = 0.8841, MAPE = 0.0548, and wMAPE = 0.0540. These goodness-of-fit metrics are intended for guidance and relative comparison.
----------------------------------------
PriorPosteriorShift Check:
  Status: PASS
  Recommendation: The model has successfully learned from the data. This is a positive sign that your data was informative.
----------------------------------------
ROIConsistency Check:
  Status: REVIEW
  Recommendation: We've detected an unusually low ROI estimate (for channels `meta`, `google`) where the posterior point estimate falls into the extreme tail of your custom prior. Please review this result to determine if it is reasonable within your business context.",national,date,,,74,74,1,,,,,,,,,,,,,,
multi|meta|0.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,amazon,meta,0.5,0.5,LogNormal,0.1427200755911568,"{""roi_prior_overrides"": {""meta"": {""dist"": ""LogNormal"", ""mu"": 0.5, ""sigma"": 0.5}}, ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}}",meta,True,0.3,0.5,1.2,4,geometric,REVIEW,1,REVIEW:ROIConsistency,ROIConsistency,"meta,google","We've detected an unusually low ROI estimate (for channels `meta`, `google`) where the posterior point estimate falls into the extreme tail of your custom prior. Please review this result to determine if it is reasonable within your business context.",PASS,PASS,PASS,PASS,PASS,REVIEW,"========================================
Model Quality Checks
========================================
Overall Status: PASS
Summary: Passed with reviews: Review is needed.

Check Results:
----------------------------------------
Convergence Check:
  Status: PASS
  Recommendation: The model has likely converged, as all parameters have R-hat values < 1.2.
----------------------------------------
Baseline Check:
  Status: PASS
  Recommendation: The posterior probability that the baseline is negative is 0.00. We recommend visually inspecting the baseline time series in the Model Fit charts to confirm this.
----------------------------------------
BayesianPPP Check:
  Status: PASS
  Recommendation: The Bayesian posterior predictive p-value is 0.90. The observed total outcome is consistent with the model's posterior predictive distribution.
----------------------------------------
GoodnessOfFit Check:
  Status: PASS
  Recommendation: R-squared = 0.8841, MAPE = 0.0548, and wMAPE = 0.0540. These goodness-of-fit metrics are intended for guidance and relative comparison.
----------------------------------------
PriorPosteriorShift Check:
  Status: PASS
  Recommendation: The model has successfully learned from the data. This is a positive sign that your data was informative.
----------------------------------------
ROIConsistency Check:
  Status: REVIEW
  Recommendation: We've detected an unusually low ROI estimate (for channels `meta`, `google`) where the posterior point estimate falls into the extreme tail of your custom prior. Please review this result to determine if it is reasonable within your business context.",national,date,,,74,74,1,,,,,,,,,,,,,,
multi|meta|0.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,meta,meta,0.5,1.0,LogNormal,0.018110017456056,"{""roi_prior_overrides"": {""meta"": {""dist"": ""LogNormal"", ""mu"": 0.5, ""sigma"": 1.0}}, ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}}",meta,False,0.3,0.5,1.2,4,geometric,REVIEW,1,REVIEW:ROIConsistency,ROIConsistency,google,We've detected an unusually low ROI estimate (for channel `google`) where the posterior point estimate falls into the extreme tail of your custom prior. Please review this result to determine if it is reasonable within your business context.,PASS,PASS,PASS,PASS,PASS,REVIEW,"========================================
Model Quality Checks
========================================
Overall Status: PASS
Summary: Passed with reviews: Review is needed.

Check Results:
----------------------------------------
Convergence Check:
  Status: PASS
  Recommendation: The model has likely converged, as all parameters have R-hat values < 1.2.
----------------------------------------
Baseline Check:
  Status: PASS
  Recommendation: The posterior probability that the baseline is negative is 0.00. We recommend visually inspecting the baseline time series in the Model Fit charts to confirm this.
----------------------------------------
BayesianPPP Check:
  Status: PASS
  Recommendation: The Bayesian posterior predictive p-value is 0.90. The observed total outcome is consistent with the model's posterior predictive distribution.
----------------------------------------
GoodnessOfFit Check:
  Status: PASS
  Recommendation: R-squared = 0.8881, MAPE = 0.0538, and wMAPE = 0.0531. These goodness-of-fit metrics are intended for guidance and relative comparison.
----------------------------------------
PriorPosteriorShift Check:
  Status: PASS
  Recommendation: The model has successfully learned from the data. This is a positive sign that your data was informative.
----------------------------------------
ROIConsistency Check:
  Status: REVIEW
  Recommendation: We've detected an unusually low ROI estimate (for channel `google`) where the posterior point estimate falls into the extreme tail of your custom prior. Please review this result to determine if it is reasonable within your business context.",national,date,,,74,74,1,0.029280560844733,0.018110017456056,0.0111705433886769,0.3815003219341122,840158.1265220001,24600.301142824308,15215.278337160727,-9385.02280566358,9385.02280566358,100.0,2460030.1142824306,1521527.8337160728,-938502.2805663578,938502.2805663578
multi|meta|0.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,google,meta,0.5,1.0,LogNormal,0.0143291834470195,"{""roi_prior_overrides"": {""meta"": {""dist"": ""LogNormal"", ""mu"": 0.5, ""sigma"": 1.0}}, ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}}",meta,False,0.3,0.5,1.2,4,geometric,REVIEW,1,REVIEW:ROIConsistency,ROIConsistency,google,We've detected an unusually low ROI estimate (for channel `google`) where the posterior point estimate falls into the extreme tail of your custom prior. Please review this result to determine if it is reasonable within your business context.,PASS,PASS,PASS,PASS,PASS,REVIEW,"========================================
Model Quality Checks
========================================
Overall Status: PASS
Summary: Passed with reviews: Review is needed.

Check Results:
----------------------------------------
Convergence Check:
  Status: PASS
  Recommendation: The model has likely converged, as all parameters have R-hat values < 1.2.
----------------------------------------
Baseline Check:
  Status: PASS
  Recommendation: The posterior probability that the baseline is negative is 0.00. We recommend visually inspecting the baseline time series in the Model Fit charts to confirm this.
----------------------------------------
BayesianPPP Check:
  Status: PASS
  Recommendation: The Bayesian posterior predictive p-value is 0.90. The observed total outcome is consistent with the model's posterior predictive distribution.
----------------------------------------
GoodnessOfFit Check:
  Status: PASS
  Recommendation: R-squared = 0.8881, MAPE = 0.0538, and wMAPE = 0.0531. These goodness-of-fit metrics are intended for guidance and relative comparison.
----------------------------------------
PriorPosteriorShift Check:
  Status: PASS
  Recommendation: The model has successfully learned from the data. This is a positive sign that your data was informative.
----------------------------------------
ROIConsistency Check:
  Status: REVIEW
  Recommendation: We've detected an unusually low ROI estimate (for channel `google`) where the posterior point estimate falls into the extreme tail of your custom prior. Please review this result to determine if it is reasonable within your business context.",national,date,,,74,74,1,0.0139941585313257,0.0143291834470195,0.0003350249156938,0.0239403401743558,10298543.94665,144119.45663124474,147569.72544874006,3450.268817495322,3450.268817495322,100.0,14411945.663124474,14756972.544874009,345026.8817495331,345026.8817495331
