run_id,prior_key,targets,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,adstock_alpha_m,saturation_ec_m,saturation_slope_m,max_lag,adstock_decay_spec,is_baseline,data_granularity,data_time_col,data_geo_col,data_population_col,data_n_rows,data_n_time_periods,data_n_geos,qc_status_code,qc_severity_rank,qc_needs_review,qc_summary_short,qc_primary_review_check,qc_flagged_channels,qc_review_reason,qc_convergence_status,qc_baseline_status,qc_bayesianppp_status,qc_gof_status,qc_prior_posterior_shift_status,qc_roi_consistency_status,qc_r2,qc_mape,qc_wmape,qc_bayesian_ppp,qc_baseline_neg_prob,qc_report_full
"multi|google,meta,tiktok|data=monthly_mocha_geo|0.020759|0.006689|Normal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric","{""roi_prior_overrides"": {""google"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.006689}}, ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}}","google,meta,tiktok","google,meta,tiktok",0.020759,0.006689,Normal,0.3,0.5,1.2,4,geometric,False,geo,date,state,population,74,74,1,PASS,0,False,PASS,,,,PASS,PASS,PASS,PASS,PASS,PASS,0.8927,0.0515,0.0507,0.96,0.0,"========================================
Model Quality Checks
========================================
Overall Status: PASS
Summary: Passed: No major quality issues were identified.

Check Results:
----------------------------------------
Convergence Check:
  Status: PASS
  Recommendation: The model has likely converged, as all parameters have R-hat values < 1.2.
----------------------------------------
Baseline Check:
  Status: PASS
  Recommendation: The posterior probability that the baseline is negative is 0.00. We recommend visually inspecting the baseline time series in the Model Fit charts to confirm this.
----------------------------------------
BayesianPPP Check:
  Status: PASS
  Recommendation: The Bayesian posterior predictive p-value is 0.96. The observed total outcome is consistent with the model's posterior predictive distribution.
----------------------------------------
GoodnessOfFit Check:
  Status: PASS
  Recommendation: R-squared = 0.8927, MAPE = 0.0515, and wMAPE = 0.0507. These goodness-of-fit metrics are intended for guidance and relative comparison.
----------------------------------------
PriorPosteriorShift Check:
  Status: PASS
  Recommendation: The model has successfully learned from the data. This is a positive sign that your data was informative.
----------------------------------------
ROIConsistency Check:
  Status: PASS
  Recommendation: The posterior distribution of the ROI is within a reasonable range, aligning with the custom priors you provided."
"multi|google,meta,tiktok|data=monthly_mocha_geo|0.020759|0.006689|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric","{""roi_prior_overrides"": {""google"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.006689}}, ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}}","google,meta,tiktok","google,meta,tiktok",0.020759,0.006689,LogNormal,0.3,0.5,1.2,4,geometric,False,geo,date,state,population,74,74,1,PASS,0,False,PASS,,,,PASS,PASS,PASS,PASS,PASS,PASS,0.8903,0.0534,0.0528,0.93,0.0,"========================================
Model Quality Checks
========================================
Overall Status: PASS
Summary: Passed: No major quality issues were identified.

Check Results:
----------------------------------------
Convergence Check:
  Status: PASS
  Recommendation: The model has likely converged, as all parameters have R-hat values < 1.2.
----------------------------------------
Baseline Check:
  Status: PASS
  Recommendation: The posterior probability that the baseline is negative is 0.00. We recommend visually inspecting the baseline time series in the Model Fit charts to confirm this.
----------------------------------------
BayesianPPP Check:
  Status: PASS
  Recommendation: The Bayesian posterior predictive p-value is 0.93. The observed total outcome is consistent with the model's posterior predictive distribution.
----------------------------------------
GoodnessOfFit Check:
  Status: PASS
  Recommendation: R-squared = 0.8903, MAPE = 0.0534, and wMAPE = 0.0528. These goodness-of-fit metrics are intended for guidance and relative comparison.
----------------------------------------
PriorPosteriorShift Check:
  Status: PASS
  Recommendation: The model has successfully learned from the data. This is a positive sign that your data was informative.
----------------------------------------
ROIConsistency Check:
  Status: PASS
  Recommendation: The posterior distribution of the ROI is within a reasonable range, aligning with the custom priors you provided."
"multi|google,meta,tiktok|data=monthly_mocha_geo|0.020759|0.016722|Normal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric","{""roi_prior_overrides"": {""google"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.016722}}, ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}}","google,meta,tiktok","google,meta,tiktok",0.020759,0.016722,Normal,0.3,0.5,1.2,4,geometric,False,geo,date,state,population,74,74,1,PASS,0,False,PASS,,,,PASS,PASS,PASS,PASS,PASS,PASS,0.9024,0.0482,0.0479,0.98,0.0,"========================================
Model Quality Checks
========================================
Overall Status: PASS
Summary: Passed: No major quality issues were identified.

Check Results:
----------------------------------------
Convergence Check:
  Status: PASS
  Recommendation: The model has likely converged, as all parameters have R-hat values < 1.2.
----------------------------------------
Baseline Check:
  Status: PASS
  Recommendation: The posterior probability that the baseline is negative is 0.00. We recommend visually inspecting the baseline time series in the Model Fit charts to confirm this.
----------------------------------------
BayesianPPP Check:
  Status: PASS
  Recommendation: The Bayesian posterior predictive p-value is 0.98. The observed total outcome is consistent with the model's posterior predictive distribution.
----------------------------------------
GoodnessOfFit Check:
  Status: PASS
  Recommendation: R-squared = 0.9024, MAPE = 0.0482, and wMAPE = 0.0479. These goodness-of-fit metrics are intended for guidance and relative comparison.
----------------------------------------
PriorPosteriorShift Check:
  Status: PASS
  Recommendation: The model has successfully learned from the data. This is a positive sign that your data was informative.
----------------------------------------
ROIConsistency Check:
  Status: PASS
  Recommendation: The posterior distribution of the ROI is within a reasonable range, aligning with the custom priors you provided."
"multi|google,meta,tiktok|data=monthly_mocha_geo|0.020759|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric","{""roi_prior_overrides"": {""google"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.016722}}, ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}}","google,meta,tiktok","google,meta,tiktok",0.020759,0.016722,LogNormal,0.3,0.5,1.2,4,geometric,False,geo,date,state,population,74,74,1,PASS,0,False,PASS,,,,PASS,PASS,PASS,PASS,PASS,PASS,0.8952,0.0517,0.0514,0.93,0.0,"========================================
Model Quality Checks
========================================
Overall Status: PASS
Summary: Passed: No major quality issues were identified.

Check Results:
----------------------------------------
Convergence Check:
  Status: PASS
  Recommendation: The model has likely converged, as all parameters have R-hat values < 1.2.
----------------------------------------
Baseline Check:
  Status: PASS
  Recommendation: The posterior probability that the baseline is negative is 0.00. We recommend visually inspecting the baseline time series in the Model Fit charts to confirm this.
----------------------------------------
BayesianPPP Check:
  Status: PASS
  Recommendation: The Bayesian posterior predictive p-value is 0.93. The observed total outcome is consistent with the model's posterior predictive distribution.
----------------------------------------
GoodnessOfFit Check:
  Status: PASS
  Recommendation: R-squared = 0.8952, MAPE = 0.0517, and wMAPE = 0.0514. These goodness-of-fit metrics are intended for guidance and relative comparison.
----------------------------------------
PriorPosteriorShift Check:
  Status: PASS
  Recommendation: The model has successfully learned from the data. This is a positive sign that your data was informative.
----------------------------------------
ROIConsistency Check:
  Status: PASS
  Recommendation: The posterior distribution of the ROI is within a reasonable range, aligning with the custom priors you provided."
"multi|google,meta,tiktok|data=monthly_mocha_geo|0.020759|0.033445|Normal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric","{""roi_prior_overrides"": {""google"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""meta"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.020759, ""sigma"": 0.033445}}, ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}}","google,meta,tiktok","google,meta,tiktok",0.020759,0.033445,Normal,0.3,0.5,1.2,4,geometric,False,geo,date,state,population,74,74,1,PASS,0,False,PASS,,,,PASS,PASS,PASS,PASS,PASS,PASS,0.9069,0.0465,0.0465,0.98,0.0,"========================================
Model Quality Checks
========================================
Overall Status: PASS
Summary: Passed: No major quality issues were identified.

Check Results:
----------------------------------------
Convergence Check:
  Status: PASS
  Recommendation: The model has likely converged, as all parameters have R-hat values < 1.2.
----------------------------------------
Baseline Check:
  Status: PASS
  Recommendation: The posterior probability that the baseline is negative is 0.00. We recommend visually inspecting the baseline time series in the Model Fit charts to confirm this.
----------------------------------------
BayesianPPP Check:
  Status: PASS
  Recommendation: The Bayesian posterior predictive p-value is 0.98. The observed total outcome is consistent with the model's posterior predictive distribution.
----------------------------------------
GoodnessOfFit Check:
  Status: PASS
  Recommendation: R-squared = 0.9069, MAPE = 0.0465, and wMAPE = 0.0465. These goodness-of-fit metrics are intended for guidance and relative comparison.
----------------------------------------
PriorPosteriorShift Check:
  Status: PASS
  Recommendation: The model has successfully learned from the data. This is a positive sign that your data was informative.
----------------------------------------
ROIConsistency Check:
  Status: PASS
  Recommendation: The posterior distribution of the ROI is within a reasonable range, aligning with the custom priors you provided."
"multi|google,meta,tiktok|data=monthly_mocha_geo|0.020759|0.033445|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric","{""roi_prior_overrides"": {""google"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""meta"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.020759, ""sigma"": 0.033445}}, ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}}","google,meta,tiktok","google,meta,tiktok",0.020759,0.033445,LogNormal,0.3,0.5,1.2,4,geometric,False,geo,date,state,population,74,74,1,PASS,0,False,PASS,,,,PASS,PASS,PASS,PASS,PASS,PASS,0.8981,0.0503,0.0502,0.98,0.0,"========================================
Model Quality Checks
========================================
Overall Status: PASS
Summary: Passed: No major quality issues were identified.

Check Results:
----------------------------------------
Convergence Check:
  Status: PASS
  Recommendation: The model has likely converged, as all parameters have R-hat values < 1.2.
----------------------------------------
Baseline Check:
  Status: PASS
  Recommendation: The posterior probability that the baseline is negative is 0.00. We recommend visually inspecting the baseline time series in the Model Fit charts to confirm this.
----------------------------------------
BayesianPPP Check:
  Status: PASS
  Recommendation: The Bayesian posterior predictive p-value is 0.98. The observed total outcome is consistent with the model's posterior predictive distribution.
----------------------------------------
GoodnessOfFit Check:
  Status: PASS
  Recommendation: R-squared = 0.8981, MAPE = 0.0503, and wMAPE = 0.0502. These goodness-of-fit metrics are intended for guidance and relative comparison.
----------------------------------------
PriorPosteriorShift Check:
  Status: PASS
  Recommendation: The model has successfully learned from the data. This is a positive sign that your data was informative.
----------------------------------------
ROIConsistency Check:
  Status: PASS
  Recommendation: The posterior distribution of the ROI is within a reasonable range, aligning with the custom priors you provided."
"multi|google,meta,tiktok|data=monthly_mocha_geo|0.051898|0.006689|Normal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric","{""roi_prior_overrides"": {""google"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.006689}, ""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.006689}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.006689}}, ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}}","google,meta,tiktok","google,meta,tiktok",0.051898,0.006689,Normal,0.3,0.5,1.2,4,geometric,False,geo,date,state,population,74,74,1,PASS,0,False,PASS,,,,PASS,PASS,PASS,PASS,PASS,PASS,0.8526,0.0623,0.0603,0.95,0.0,"========================================
Model Quality Checks
========================================
Overall Status: PASS
Summary: Passed: No major quality issues were identified.

Check Results:
----------------------------------------
Convergence Check:
  Status: PASS
  Recommendation: The model has likely converged, as all parameters have R-hat values < 1.2.
----------------------------------------
Baseline Check:
  Status: PASS
  Recommendation: The posterior probability that the baseline is negative is 0.00. We recommend visually inspecting the baseline time series in the Model Fit charts to confirm this.
----------------------------------------
BayesianPPP Check:
  Status: PASS
  Recommendation: The Bayesian posterior predictive p-value is 0.95. The observed total outcome is consistent with the model's posterior predictive distribution.
----------------------------------------
GoodnessOfFit Check:
  Status: PASS
  Recommendation: R-squared = 0.8526, MAPE = 0.0623, and wMAPE = 0.0603. These goodness-of-fit metrics are intended for guidance and relative comparison.
----------------------------------------
PriorPosteriorShift Check:
  Status: PASS
  Recommendation: The model has successfully learned from the data. This is a positive sign that your data was informative.
----------------------------------------
ROIConsistency Check:
  Status: PASS
  Recommendation: The posterior distribution of the ROI is within a reasonable range, aligning with the custom priors you provided."
"multi|google,meta,tiktok|data=monthly_mocha_geo|0.051898|0.006689|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric","{""roi_prior_overrides"": {""google"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.006689}, ""meta"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.006689}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.006689}}, ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}}","google,meta,tiktok","google,meta,tiktok",0.051898,0.006689,LogNormal,0.3,0.5,1.2,4,geometric,False,geo,date,state,population,74,74,1,REVIEW,1,True,REVIEW:Baseline,Baseline,,"The posterior probability that the baseline is negative is 0.21. This indicates that the baseline time series occasionally dips into negative values. We recommend visually inspecting the baseline time series in the Model Fit charts, but don't be overly concerned. An occasional, small dip may indicate minor statistical error, which is inherent in any model.",PASS,REVIEW,PASS,PASS,PASS,PASS,0.8512,0.0633,0.0617,0.89,0.21,"========================================
Model Quality Checks
========================================
Overall Status: PASS
Summary: Passed with reviews: Review is needed.

Check Results:
----------------------------------------
Convergence Check:
  Status: PASS
  Recommendation: The model has likely converged, as all parameters have R-hat values < 1.2.
----------------------------------------
Baseline Check:
  Status: REVIEW
  Recommendation: The posterior probability that the baseline is negative is 0.21. This indicates that the baseline time series occasionally dips into negative values. We recommend visually inspecting the baseline time series in the Model Fit charts, but don't be overly concerned. An occasional, small dip may indicate minor statistical error, which is inherent in any model.
----------------------------------------
BayesianPPP Check:
  Status: PASS
  Recommendation: The Bayesian posterior predictive p-value is 0.89. The observed total outcome is consistent with the model's posterior predictive distribution.
----------------------------------------
GoodnessOfFit Check:
  Status: PASS
  Recommendation: R-squared = 0.8512, MAPE = 0.0633, and wMAPE = 0.0617. These goodness-of-fit metrics are intended for guidance and relative comparison.
----------------------------------------
PriorPosteriorShift Check:
  Status: PASS
  Recommendation: The model has successfully learned from the data. This is a positive sign that your data was informative.
----------------------------------------
ROIConsistency Check:
  Status: PASS
  Recommendation: The posterior distribution of the ROI is within a reasonable range, aligning with the custom priors you provided."
"multi|google,meta,tiktok|data=monthly_mocha_geo|0.051898|0.016722|Normal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric","{""roi_prior_overrides"": {""google"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}, ""meta"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.051898, ""sigma"": 0.016722}}, ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}}","google,meta,tiktok","google,meta,tiktok",0.051898,0.016722,Normal,0.3,0.5,1.2,4,geometric,True,geo,date,state,population,74,74,1,REVIEW,1,True,REVIEW:ROIConsistency,ROIConsistency,google,We've detected an unusually low ROI estimate (for channel `google`) where the posterior point estimate falls into the extreme tail of your custom prior. Please review this result to determine if it is reasonable within your business context.,PASS,PASS,PASS,PASS,PASS,REVIEW,0.8872,0.0532,0.0522,0.93,0.0,"========================================
Model Quality Checks
========================================
Overall Status: PASS
Summary: Passed with reviews: Review is needed.

Check Results:
----------------------------------------
Convergence Check:
  Status: PASS
  Recommendation: The model has likely converged, as all parameters have R-hat values < 1.2.
----------------------------------------
Baseline Check:
  Status: PASS
  Recommendation: The posterior probability that the baseline is negative is 0.00. We recommend visually inspecting the baseline time series in the Model Fit charts to confirm this.
----------------------------------------
BayesianPPP Check:
  Status: PASS
  Recommendation: The Bayesian posterior predictive p-value is 0.93. The observed total outcome is consistent with the model's posterior predictive distribution.
----------------------------------------
GoodnessOfFit Check:
  Status: PASS
  Recommendation: R-squared = 0.8872, MAPE = 0.0532, and wMAPE = 0.0522. These goodness-of-fit metrics are intended for guidance and relative comparison.
----------------------------------------
PriorPosteriorShift Check:
  Status: PASS
  Recommendation: The model has successfully learned from the data. This is a positive sign that your data was informative.
----------------------------------------
ROIConsistency Check:
  Status: REVIEW
  Recommendation: We've detected an unusually low ROI estimate (for channel `google`) where the posterior point estimate falls into the extreme tail of your custom prior. Please review this result to determine if it is reasonable within your business context."
"multi|google,meta,tiktok|data=monthly_mocha_geo|0.051898|0.016722|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric","{""roi_prior_overrides"": {""google"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.016722}, ""meta"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.016722}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.051898, ""sigma"": 0.016722}}, ""structural_overrides"": {""adstock_decay_spec"": ""geometric"", ""alpha_m"": 0.3, ""ec_m"": 0.5, ""max_lag"": 4, ""slope_m"": 1.2}}","google,meta,tiktok","google,meta,tiktok",0.051898,0.016722,LogNormal,0.3,0.5,1.2,4,geometric,False,geo,date,state,population,74,74,1,PASS,0,False,PASS,,,,PASS,PASS,PASS,PASS,PASS,PASS,0.8738,0.0576,0.0565,0.92,0.01,"========================================
Model Quality Checks
========================================
Overall Status: PASS
Summary: Passed: No major quality issues were identified.

Check Results:
----------------------------------------
Convergence Check:
  Status: PASS
  Recommendation: The model has likely converged, as all parameters have R-hat values < 1.2.
----------------------------------------
Baseline Check:
  Status: PASS
  Recommendation: The posterior probability that the baseline is negative is 0.01. We recommend visually inspecting the baseline time series in the Model Fit charts to confirm this.
----------------------------------------
BayesianPPP Check:
  Status: PASS
  Recommendation: The Bayesian posterior predictive p-value is 0.92. The observed total outcome is consistent with the model's posterior predictive distribution.
----------------------------------------
GoodnessOfFit Check:
  Status: PASS
  Recommendation: R-squared = 0.8738, MAPE = 0.0576, and wMAPE = 0.0565. These goodness-of-fit metrics are intended for guidance and relative comparison.
----------------------------------------
PriorPosteriorShift Check:
  Status: PASS
  Recommendation: The model has successfully learned from the data. This is a positive sign that your data was informative.
----------------------------------------
ROIConsistency Check:
  Status: PASS
  Recommendation: The posterior distribution of the ROI is within a reasonable range, aligning with the custom priors you provided."
