Summary,Issue Type,Priority,Labels,Description
"[P0] Define Robustness Score v1 spec (0-100)","Task","High","robustness-score,prior-sensitivity,capstone","Objective: define a single robustness score formula and weighting schema. Done when: score formula, weight table, normalization rules, and rationale are documented in one shared spec."
"[P0] Finalize 4 scoring dimensions and metric definitions","Task","High","robustness-score,prior-sensitivity,capstone","Objective: lock the four dimensions (QC pass rate, sensitivity stability, baseline reliability, distribution consistency). Done when: each dimension has exact metric name, computation rule, and allowed value range."
"[P0] Add near-zero baseline safeguard for pct change","Task","High","robustness-score,prior-sensitivity,capstone","Objective: prevent inflated percent-change artifacts when baseline ROI is near zero. Done when: scoring uses delta_value_abs or delta_outcome_abs fallback and flags unstable channels clearly."
"[P0] Build robustness scoring pipeline output (overall + channel)","Task","High","robustness-score,prior-sensitivity,engineering","Objective: generate machine-readable score outputs for downstream reporting. Done when: script writes robustness_score_overall.csv and robustness_score_by_channel.csv with reproducible inputs."
"[P0] Define traffic-light decision policy from score","Task","High","robustness-score,prior-sensitivity,decision-layer","Objective: map score to business action. Done when: Green/Yellow/Red thresholds and required actions (use / caution / rerun) are approved and documented."
"[P0] Add Decision Card section in HTML report","Task","High","robustness-score,reporting,client-facing","Objective: expose one-page decision output for non-technical stakeholders. Done when: report shows overall score, status tier, top drivers, and next action recommendation."
"[P1] Run weight sensitivity analysis for score stability","Task","Medium","robustness-score,validation,analysis","Objective: test whether channel ranking and overall status are stable under reasonable weight changes. Done when: sensitivity table and commentary are added to internal validation notes."
"[P1] Calibrate score thresholds with historical run backtests","Task","Medium","robustness-score,validation,backtest","Objective: avoid arbitrary cutoffs. Done when: proposed thresholds are benchmarked on historical runs and justified with observed false-positive/false-negative tradeoffs."
"[P1] Add automatic rerun trigger rules","Task","Medium","robustness-score,automation,qc","Objective: turn score/QC failures into deterministic workflow triggers. Done when: pipeline rule triggers 8-run or 18-run rerun when gate fails or score drops below threshold."
"[P2] Add user-configurable score weights and thresholds","Task","Low","robustness-score,productization,config","Objective: support mentor/client experimentation while keeping safe defaults. Done when: YAML/CLI supports override inputs and defaults remain backward-compatible."
